match,PSW,win0,confidence0,date
21912,2.88,1,2.12702604675293,2017-03-13
17370,1.45,0,2.0695891405642035,2015-06-11
18711,1.44,0,2.021047165393829,2016-01-12
17752,1.44,0,2.0184614355862145,2015-07-28
17482,1.48,0,1.9999003809690472,2015-06-23
22038,3.46,1,1.982773467749357,2017-04-10
17443,1.46,0,1.963903065919876,2015-06-19
19132,2.83,1,1.9634952772657075,2016-02-21
19518,1.41,0,1.9448423767089842,2016-04-16
21186,1.44,0,1.9384993660449978,2016-11-01
17763,1.53,0,1.931252538363139,2015-07-28
19481,1.45,0,1.9077475547790528,2016-04-12
18899,3.05,1,1.9069360911846158,2016-02-02
21534,2.71,1,1.9054132649302482,2017-02-08
19427,2.71,1,1.8894257845481237,2016-04-05
20498,2.86,1,1.8819214022159574,2016-07-27
13927,1.52,0,1.8802080053091048,2013-02-23
19033,1.5,0,1.8752119414508344,2016-02-13
16611,2.41,1,1.8653852798938755,2015-03-13
23066,2.84,1,1.8399617584546404,2017-07-31
15955,1.48,0,1.8364199647903443,2013-10-31
21097,1.45,0,1.8188360036909579,2016-10-21
16313,2.67,1,1.8136260237693786,2015-02-06
20020,2.52,1,1.809149379730225,2016-06-12
20445,2.85,1,1.8088998931646347,2016-07-22
22118,2.7,1,1.8053199201822283,2017-04-18
19000,1.46,0,1.8013707017898561,2016-02-10
17952,2.98,1,1.7977654712200166,2015-08-16
14985,3.1,1,1.7740430004894736,2013-06-29
19613,1.47,0,1.773428073525429,2016-04-26
16198,3.12,1,1.7692647922039035,2015-01-21
20074,2.7,1,1.7669985160231592,2016-06-17
17748,1.37,0,1.758259137570858,2015-07-27
18612,1.5,0,1.7495075368881223,2016-01-04
19802,1.44,0,1.739233553946018,2016-05-16
17939,1.56,0,1.7389094178875286,2015-08-13
19053,1.57,0,1.738470060378313,2016-02-16
21946,1.52,0,1.7373237309604885,2017-03-22
19445,2.73,1,1.7334525042772293,2016-04-07
20933,1.47,0,1.730766335129738,2016-10-04
21972,1.69,0,1.7300502836704252,2017-03-23
23452,1.54,0,1.7292908781766894,2017-09-19
14489,2.73,1,1.7277259567379952,2013-05-08
17783,1.53,0,1.7277086839824913,2015-07-29
18286,2.94,1,1.7237584948539735,2015-10-04
21582,2.75,1,1.7148299276828767,2017-02-11
17064,2.52,1,1.7114297547340396,2015-05-05
18490,1.43,0,1.7095797782142956,2015-10-25
20814,2.71,1,1.7057806491851806,2016-09-20
24062,1.46,0,1.7035883153229952,2018-01-16
14458,1.61,0,1.699531352221966,2013-05-05
23090,2.76,1,1.692218985557556,2017-08-02
15975,1.56,0,1.6914473547538122,2013-11-08
16466,1.6,0,1.6890013258457184,2015-02-18
18040,1.53,0,1.6880732393264772,2015-08-26
15880,2.22,1,1.6874015851020814,2013-10-23
20467,1.56,0,1.6858344674110413,2016-07-24
17293,2.73,1,1.6832834079265595,2015-05-28
19862,1.39,0,1.6818705563545229,2016-05-23
16064,2.74,1,1.6817682179212572,2015-01-10
17128,2.29,1,1.6791567456722258,2015-05-12
20006,1.56,0,1.67658677726984,2016-06-09
19704,2.52,1,1.671696263551712,2016-05-04
23561,2.2,1,1.667037749290466,2017-10-02
15630,2.58,1,1.6653418394923212,2013-09-18
19731,2.92,1,1.664603677690029,2016-05-08
19946,1.41,0,1.6607402744889261,2016-05-28
20932,1.52,0,1.659727442264557,2016-10-04
23172,2.52,1,1.6594347596168517,2017-08-08
23271,1.44,0,1.6592241194844248,2017-08-20
18486,1.76,0,1.6576511652980535,2015-10-24
23722,2.71,1,1.6463664773106577,2017-10-19
16850,1.43,0,1.6461072061210869,2015-04-14
14756,1.53,0,1.6456786735355853,2013-06-10
21105,1.49,0,1.6432900359630587,2016-10-22
16819,1.59,0,1.6418881130218508,2015-04-09
22354,1.45,0,1.6400554226338864,2017-05-13
17365,1.56,0,1.6339180555343629,2015-06-10
17755,1.49,0,1.6329690375328059,2015-07-28
16854,1.63,0,1.6285066433250908,2015-04-14
19002,1.75,0,1.6279144585132599,2016-02-10
16779,1.61,0,1.6272706910967827,2015-04-03
15712,1.5,0,1.6259741731882094,2013-09-27
22061,2.45,1,1.6256591200828552,2017-04-12
18837,1.59,0,1.6243744211196902,2016-01-21
15289,2.47,1,1.6212225982546806,2013-07-31
22460,2.71,1,1.6196423478722572,2017-05-26
15669,3.05,1,1.6167608555406332,2013-09-23
21691,2.33,1,1.6165373816490174,2017-02-21
16598,2.35,1,1.6160176421205203,2015-03-12
18117,1.73,0,1.6157139046986897,2015-09-02
17133,2.6,1,1.6150503720555989,2015-05-13
20094,1.57,0,1.61488774895668,2016-06-20
20129,1.51,0,1.6106009650230404,2016-06-25
19341,1.55,0,1.6088531915098427,2016-03-24
17491,1.59,0,1.6071354818344117,2015-06-24
18295,1.45,0,1.6070873653888704,2015-10-05
18336,2.97,1,1.6061057361960416,2015-10-08
13540,1.57,0,1.604312835037708,2013-01-10
17466,1.41,0,1.602581114768982,2015-06-23
21741,2.46,1,1.601067681312561,2017-02-24
22673,1.93,0,1.599600763320923,2017-06-20
16743,1.66,0,1.5995572607517243,2015-03-28
16786,2.67,1,1.5982645012225423,2015-04-06
21758,1.62,0,1.5965656413137916,2017-02-26
17600,2.15,1,1.5957065209746362,2015-07-03
22176,1.61,0,1.5951310628652573,2017-04-25
19471,1.57,0,1.5922801227867602,2016-04-11
23185,1.47,0,1.5907203491032125,2017-08-09
19020,2.66,1,1.5900946921110153,2016-02-11
21360,1.52,0,1.5892730644941333,2017-01-11
16456,1.59,0,1.5887614989777405,2015-02-18
23314,2.89,1,1.5861867275089028,2017-08-28
24012,1.54,0,1.5832304203510286,2018-01-15
22640,2.7,1,1.582377045750618,2017-06-16
19230,1.7,0,1.5763772534728049,2016-03-10
22475,1.69,0,1.5728695780038833,2017-05-28
15216,2.3,1,1.5710747182369231,2013-07-25
15726,2.7,1,1.562725170850754,2013-10-07
17656,1.68,0,1.560107581615448,2015-07-18
21742,1.76,0,1.5596395769119265,2017-02-24
24275,1.65,0,1.558418143093586,2018-02-15
15741,2.44,1,1.5573767931120737,2013-10-08
21617,2.55,1,1.5547755673527717,2017-02-15
20359,1.53,0,1.5537777535617354,2016-07-19
13566,1.53,0,1.5526506695747377,2013-01-14
21389,1.59,0,1.5515250535011291,2017-01-16
21318,1.46,0,1.5479086493253709,2017-01-07
19889,1.68,0,1.5478559231758116,2016-05-24
18555,1.83,0,1.5474059050423759,2015-11-02
19021,1.57,0,1.5471256017684938,2016-02-12
17843,2.3,1,1.5470711188656943,2015-08-04
23103,1.81,0,1.5465045343126569,2017-08-02
19469,1.52,0,1.5464688824117185,2016-04-11
18005,1.62,0,1.5456204156080882,2015-08-22
20707,1.54,0,1.544645795375109,2016-08-29
17417,2.23,1,1.5413342814644178,2015-06-16
23565,1.71,0,1.5387833595275882,2017-10-03
23051,1.66,0,1.5382553952932356,2017-07-29
19453,1.75,0,1.5364875564575198,2016-04-08
19923,1.47,0,1.5364262163639069,2016-05-26
23097,2.44,1,1.5359913722674052,2017-08-02
22779,1.73,0,1.5354468727111816,2017-07-03
20285,1.53,0,1.533977394774556,2016-07-12
13565,2.62,1,1.530874056696892,2013-01-14
14525,2.71,1,1.5302579721063376,2013-05-13
20804,2.45,1,1.5294694393873218,2016-09-08
18032,1.61,0,1.5287298798561095,2015-08-25
17972,1.65,0,1.5272714674472807,2015-08-18
18305,2.43,1,1.5265225287526847,2015-10-06
22289,1.71,0,1.5260252897441386,2017-05-05
23225,3.24,1,1.523805494606495,2017-08-15
22419,1.65,0,1.5231799921393396,2017-05-22
16926,1.38,0,1.5231407895684244,2015-04-22
24186,1.76,0,1.5218581513166427,2018-02-08
14223,2.64,1,1.521288336753845,2013-04-09
18390,1.79,0,1.5205407552421093,2015-10-14
22246,1.54,0,1.5195050811767579,2017-05-02
14858,2.8,1,1.5179724764823912,2013-06-19
20919,1.54,0,1.5167782226204873,2016-10-03
22715,2.51,1,1.5163515034914017,2017-06-26
19380,2.2,1,1.515800940990448,2016-03-27
21498,1.74,0,1.5156296789646149,2017-01-24
17183,2.56,1,1.5154354858398438,2015-05-19
18019,1.53,0,1.515245559513569,2015-08-24
17898,1.74,0,1.5096172187328338,2015-08-10
17362,2.73,1,1.5093415217846633,2015-06-10
